Date;DayOfWeek;Country;Tests;Confirmed;Confirmed1;Confirmed2;Confirmed3;Confirmed4;Confirmed5;Confirmed6;Confirmed7;Recovered;Deaths;SchoolsAreClose;Lockdown;MasksObligatory
2020-03-04;wednesday;Poland;92;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-05;thursday;Poland;179;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-03-06;friday;Poland;0;4;1;1;0;0;0;0;0;0;0;0;0;0
2020-03-07;saturday;Poland;299;0;4;1;1;0;0;0;0;0;0;0;0;0
2020-03-08;sunday;Poland;230;6;0;4;1;1;0;0;0;0;0;0;0;0
2020-03-09;monday;Poland;246;5;6;0;4;1;1;0;0;0;0;0;0;0
2020-03-10;tuesday;Poland;394;6;5;6;0;4;1;1;0;0;0;0;0;0
2020-03-11;wednesday;Poland;210;9;6;5;6;0;4;1;1;0;0;0;0;0
2020-03-12;thursday;Poland;655;18;9;6;5;6;0;4;1;0;1;0;0;0
2020-03-13;friday;Poland;1525;19;18;9;6;5;6;0;4;0;2;0;0;0
2020-03-14;saturday;Poland;1079;35;19;18;9;6;5;6;0;0;3;0;0;0
2020-03-15;sunday;Poland;0;16;35;19;18;9;6;5;6;0;3;0;0;0
2020-03-16;monday;Poland;2406;58;16;35;19;18;9;6;5;13;4;0;0;0
2020-03-17;tuesday;Poland;1616;61;58;16;35;19;18;9;6;13;5;0;0;0
2020-03-18;wednesday;Poland;1681;13;61;58;16;35;19;18;9;13;5;0;0;0
2020-03-19;thursday;Poland;1876;104;13;61;58;16;35;19;18;1;5;0;0;0
2020-03-20;friday;Poland;2012;70;104;13;61;58;16;35;19;1;5;0;0;0
2020-03-21;saturday;Poland;2523;111;70;104;13;61;58;16;35;1;5;0;0;0
2020-03-22;sunday;Poland;2520;98;111;70;104;13;61;58;16;1;7;0;0;0
2020-03-23;monday;Poland;2771;115;98;111;70;104;13;61;58;1;8;0;0;0
2020-03-24;tuesday;Poland;3346;152;115;98;111;70;104;13;61;1;10;0;0;0
2020-03-25;wednesday;Poland;3320;150;152;115;98;111;70;104;13;7;14;1;1;0
2020-03-26;thursday;Poland;4503;170;150;152;115;98;111;70;104;7;16;1;1;0
2020-03-27;friday;Poland;4607;168;170;150;152;115;98;111;70;7;16;1;1;0
2020-03-28;saturday;Poland;4109;249;168;170;150;152;115;98;111;7;18;1;1;0
2020-03-29;sunday;Poland;3824;224;249;168;170;150;152;115;98;7;22;1;1;0
2020-03-30;monday;Poland;4812;193;224;249;168;170;150;152;115;7;31;1;1;0
2020-03-31;tuesday;Poland;4382;256;193;224;249;168;170;150;152;7;33;1;1;0
2020-04-01;wednesday;Poland;5377;243;256;193;224;249;168;170;150;47;43;1;1;0
2020-04-02;thursday;Poland;5760;392;243;256;193;224;249;168;170;56;57;1;1;0
2020-04-03;friday;Poland;5963;437;392;243;256;193;224;249;168;56;71;1;1;0
2020-04-04;saturday;Poland;7856;244;437;392;243;256;193;224;249;116;79;1;1;0
2020-04-05;sunday;Poland;4710;475;244;437;392;243;256;193;224;134;94;1;1;0
2020-04-06;monday;Poland;6748;311;475;244;437;392;243;256;193;162;107;1;1;0
2020-04-07;tuesday;Poland;7069;435;311;475;244;437;392;243;256;191;129;1;1;0
2020-04-08;wednesday;Poland;8313;357;435;311;475;244;437;392;243;222;159;1;1;0
2020-04-09;thursday;Poland;10698;370;357;435;311;475;244;437;392;284;174;1;1;0
2020-04-10;friday;Poland;11265;380;370;357;435;311;475;244;437;318;181;1;1;0
2020-04-11;saturday;Poland;8447;401;380;370;357;435;311;475;244;375;208;1;1;0
2020-04-12;sunday;Poland;5623;318;401;380;370;357;435;311;475;439;232;1;1;0
